CustomerID,frequency,recency,T,monetary_value
12346,7,401,726,11066.63714
12347,7,402,404,615.7142857
12348,4,363,438,449.31
12349,3,571,589,1120.056667
12352,8,356,392,338.26125
12353,1,204,408,89
12355,1,353,567,459.4
12356,5,402,424,1092.258
12357,1,355,388,6207.67
12358,4,731,732,614.31
12359,9,678,735,901.4111111
12360,7,604,656,590.6985714
12361,3,396,683,134.0166667
12362,10,736,739,522.623
12363,1,133,242,252.9
12364,3,105,112,229.7266667
12369,2,228,641,721.415
12370,5,618,669,750.72
12371,3,601,645,1153.233333
12372,2,225,296,449.41
12373,2,363,674,344.875
12374,2,563,588,800.34
12375,1,88,98,227.2
12376,1,28,417,70.6
12377,3,274,589,738.4533333
12378,1,433,562,4008.62
12379,3,453,534,417.58
12380,7,642,663,951.2857143
12381,4,115,119,144.1425
12383,4,168,352,312.46
12384,1,93,121,292.58
12386,1,29,366,143
12388,7,567,582,491.3557143
12389,2,254,656,634.24
12391,4,642,663,503.1125
12393,5,356,428,419.13
12394,1,154,217,891.4
12395,13,583,602,276.5946154
12397,1,100,135,1195.09
12399,6,525,644,292.72
12402,5,348,671,213.04
12403,1,472,521,427.7
12406,4,676,698,1377.29
12407,4,215,264,370.455
12408,6,466,498,691.1116667
12409,6,487,565,2769.468333
12410,1,194,502,693.33
12412,5,465,539,385.21
12413,3,336,402,252.7
12414,3,246,463,187.47
12415,22,503,527,6460.528636
12417,19,731,734,341.49
12418,3,518,630,559.0866667
12419,1,28,413,180.1
12421,5,490,505,204.16
12422,13,627,722,396.6769231
12423,9,465,465,258.1766667
12424,2,386,548,1446.745
12425,1,370,448,777.2
12426,1,469,663,582.73
12427,2,350,371,261.15
12428,6,258,283,497.8733333
12429,5,537,546,959.41
12431,23,659,694,404.8673913
12432,2,130,172,871.33
12433,8,476,476,2080.2175
12434,2,297,381,403.07
12435,5,659,738,2583.586
12437,33,737,738,366.8218182
12438,1,126,140,2016.78
12439,1,43,726,76.52
12440,1,256,718,290.69
12444,4,150,171,783.815
12445,1,398,420,133.4
12449,5,416,438,831.458
12450,4,318,474,134.945
12451,6,519,529,1753.101667
12454,4,365,421,2986.565
12455,9,649,722,471.5022222
12456,2,210,254,1120.435
12457,7,369,435,337.6042857
12458,3,416,487,465.6266667
12461,1,60,154,200
12462,1,285,303,427.48
12463,3,188,241,331.4033333
12464,6,299,309,166.3583333
12465,1,152,169,301.25
12468,4,496,683,807.3775
12469,1,14,536,1113.7
12471,47,731,733,824.3014894
12472,18,694,726,831.27
12473,3,162,191,1088.786667
12474,28,650,667,436.2160714
12475,1,356,409,723.38
12476,17,486,501,756.01
12477,8,601,623,2281.8925
12480,6,479,507,835.4916667
12481,12,585,607,767.9925
12482,5,78,654,3450.728
12483,17,661,678,282.0870588
12484,11,650,682,526.4045455
12488,2,66,75,372.635
12490,20,734,739,460.985
12492,2,340,403,131.605
12493,1,32,197,201.24
12494,8,561,576,183.8
12497,2,563,644,2518.37
12498,1,36,57,156.45
12500,16,651,674,347.11125
12502,4,214,309,776.655
12504,3,578,596,214.8833333
12507,3,450,584,434.9366667
12508,1,3,29,123.08
12510,7,594,736,677.4485714
12514,1,374,641,1017.68
12516,3,522,599,653.0533333
12517,3,162,190,577.3
12518,4,110,110,433.015
12519,1,413,476,330.84
12520,4,194,273,411.71
12522,1,12,51,103.32
12523,22,714,733,194.445
12524,15,661,670,704.4806667
12525,2,149,647,203.65
12526,2,94,94,398.18
12527,4,448,529,108.4275
12528,5,303,312,287.99
12530,8,583,642,425.2825
12531,1,673,687,125.22
12533,1,112,739,437.97
12535,1,95,186,344.9
12536,1,16,59,8322.12
12538,1,349,378,363.95
12539,5,695,717,1213.138
12540,30,714,733,728.063
12541,2,251,280,334.39
12542,1,156,640,117.09
12545,1,184,259,372.24
12546,1,31,77,401.3
12547,2,303,500,103.9
12549,4,123,698,254.315
12552,1,1,39,120
12553,11,415,423,370.0690909
12556,1,101,151,290.81
12557,7,707,723,2306.214286
12559,1,9,319,75.6
12560,2,138,143,420.85
12562,8,427,435,567.615
12567,13,645,667,865.0153846
12569,25,250,252,151.0404
12571,1,82,121,271.26
12572,1,43,51,487.68
12573,4,238,465,141.3475
12575,1,69,526,281.02
12576,7,491,526,252.5671429
12577,4,702,737,351.6375
12578,3,422,443,1210.196667
12580,1,330,576,415.7
12582,3,339,577,381.0966667
12583,26,732,734,491.3130769
12584,8,277,280,234.315
12585,1,117,351,777.25
12586,3,707,724,546.7733333
12588,2,558,597,314.94
12589,4,662,690,995.04
12591,2,91,408,327
12592,2,427,519,218.8
12593,2,110,218,91.05
12594,13,609,646,379.69
12596,1,191,242,348.32
12597,3,249,268,1098.356667
12598,9,639,648,433.8555556
12599,12,548,577,149.77
12600,20,705,733,234.076
12601,5,215,404,115.412
12604,1,182,261,75.68
12605,3,82,458,325.32
12609,8,642,720,388.1575
12610,4,104,126,288.1975
12613,7,669,726,783.4657143
12615,6,629,631,764.25
12616,2,293,388,356.65
12619,9,544,560,404.5822222
12620,2,190,204,388.875
12621,31,668,669,775.3793548
12623,6,421,697,361.3533333
12624,1,71,177,341.19
